id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
14600	HCMC0984		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067705			8	8	2020-01-09	2020-01-09
14601	HCMC0930		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067711			8	8	2020-01-09	2020-01-09
14602	HCMC1417		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073500			8	8	2020-01-09	2020-01-09
14603	HCMC1148		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073504			8	8	2020-01-09	2020-01-09
14604	HCMC1162		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073505			8	8	2020-01-09	2020-01-09
14605	HCMC1058		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073506			8	8	2020-01-09	2020-01-09
14606	HCMC1123		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073508			8	8	2020-01-09	2020-01-09
14607	HCMC1132		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073509			8	8	2020-01-09	2020-01-09
14608	HCMC1486		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073513			8	8	2020-01-09	2020-01-09
14609	HCMC1080		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073515			8	8	2020-01-09	2020-01-09
14610	HCMC1439		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073519			8	8	2020-01-09	2020-01-09
14611	HCMC1125		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073521			8	8	2020-01-09	2020-01-09
14612	HCMC1455		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073522			8	8	2020-01-09	2020-01-09
14613	HCMC1367		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073523			8	8	2020-01-09	2020-01-09
14614	HCMC1457		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073524			8	8	2020-01-09	2020-01-09
14615	HCMC1126		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073527			8	8	2020-01-09	2020-01-09
14616	HCMC1351		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073530			8	8	2020-01-09	2020-01-09
14617	HCMC1163		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073532			8	8	2020-01-09	2020-01-09
14618	HCMC1259		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073533			8	8	2020-01-09	2020-01-09
14619	HCMC1248		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073535			8	8	2020-01-09	2020-01-09
14620	HCMC1333		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073536			8	8	2020-01-09	2020-01-09
14621	HCMC1489		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073543			8	8	2020-01-09	2020-01-09
14622	HCMC1388		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073546			8	8	2020-01-09	2020-01-09
14623	HCMC1380		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073547			8	8	2020-01-09	2020-01-09
14624	HCMC1211		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073550			8	8	2020-01-09	2020-01-09
14625	HCMC1269		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073555			8	8	2020-01-09	2020-01-09
14626	HCMC1438		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073563			8	8	2020-01-09	2020-01-09
14627	HCMC1042		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073567			8	8	2020-01-09	2020-01-09
14628	HCMC1022		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073568			8	8	2020-01-09	2020-01-09
14629	HCMC1352		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073569			8	8	2020-01-09	2020-01-09
14630	HCMC1320		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073571			8	8	2020-01-09	2020-01-09
14631	HCMC1349		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073574			8	8	2020-01-09	2020-01-09
14632	HCMC1193		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073575			8	8	2020-01-09	2020-01-09
14633	HCMC1435		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073576			8	8	2020-01-09	2020-01-09
14634	HCMC1145		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073578			8	8	2020-01-09	2020-01-09
14635	HCMC1074		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073579			8	8	2020-01-09	2020-01-09
14636	HCMC1209		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073582			8	8	2020-01-09	2020-01-09
14637	HCMC1238		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073585			8	8	2020-01-09	2020-01-09
14638	HCMC1318		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073588			8	8	2020-01-09	2020-01-09
14639	HCMC1346		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073591			8	8	2020-01-09	2020-01-09
14640	HCMC1151		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073595			8	8	2020-01-09	2020-01-09
14641	HCMC1245		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073596			8	8	2020-01-09	2020-01-09
14642	HCMC1078		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073597			8	8	2020-01-09	2020-01-09
14643	HCMC1475		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073598			8	8	2020-01-09	2020-01-09
14644	HCMC1436		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073603			8	8	2020-01-09	2020-01-09
14645	HCMC1434		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073605			8	8	2020-01-09	2020-01-09
14646	HCMC1043		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073607			8	8	2020-01-09	2020-01-09
14647	HCMC1424		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073608			8	8	2020-01-09	2020-01-09
14648	HCMC1039		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073610			8	8	2020-01-09	2020-01-09
14649	HCMC1344		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073611			8	8	2020-01-09	2020-01-09
14650	HCMC1308		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073615			8	8	2020-01-09	2020-01-09
14651	HCMC1443		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073616			8	8	2020-01-09	2020-01-09
14652	HCMC1176		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073618			8	8	2020-01-09	2020-01-09
14653	HCMC1064		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073622			8	8	2020-01-09	2020-01-09
14654	HCMC1249		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073626			8	8	2020-01-09	2020-01-09
14655	HCMC1403		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073628			8	8	2020-01-09	2020-01-09
14656	HCMC1100		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073629			8	8	2020-01-09	2020-01-09
14657	HCMC1298		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073630			8	8	2020-01-09	2020-01-09
14658	HCMC1214		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073632			8	8	2020-01-09	2020-01-09
14659	HCMC1169		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073636			8	8	2020-01-09	2020-01-09
14660	HCMC1271		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073638			8	8	2020-01-09	2020-01-09
14661	HCMC0999		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073642			8	8	2020-01-09	2020-01-09
14662	HCMC1006		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073646			8	8	2020-01-09	2020-01-09
14663	HCMC1179		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073647			8	8	2020-01-09	2020-01-09
14664	HCMC1241		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073648			8	8	2020-01-09	2020-01-09
14665	HCMC1341		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073649			8	8	2020-01-09	2020-01-09
14666	HCMC1440		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073650			8	8	2020-01-09	2020-01-09
14667	HCMC1331		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073651			8	8	2020-01-09	2020-01-09
14668	HCMC1156		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073652			8	8	2020-01-09	2020-01-09
14669	HCMC1377		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073655			8	8	2020-01-09	2020-01-09
14670	HCMC1347		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073657			8	8	2020-01-09	2020-01-09
14671	HCMC1242		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073658			8	8	2020-01-09	2020-01-09
14672	HCMC1155		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073659			8	8	2020-01-09	2020-01-09
14673	HCMC1244		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073661			8	8	2020-01-09	2020-01-09
14674	HCMC1133		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073662			8	8	2020-01-09	2020-01-09
14675	HCMC1270		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073664			8	8	2020-01-09	2020-01-09
14676	HCMC1297		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073666			8	8	2020-01-09	2020-01-09
14677	HCMC1025		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073669			8	8	2020-01-09	2020-01-09
14678	HCMC1175		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073670			8	8	2020-01-09	2020-01-09
14679	HCMC1429		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073671			8	8	2020-01-09	2020-01-09
14680	HCMC1411		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073673			8	8	2020-01-09	2020-01-09
14681	HCMC1372		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073676			8	8	2020-01-09	2020-01-09
14682	HCMC1412		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073677			8	8	2020-01-09	2020-01-09
14683	HCMC1048		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073680			8	8	2020-01-09	2020-01-09
14684	HCMC1329		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073681			8	8	2020-01-09	2020-01-09
14685	HCMC1195		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073687			8	8	2020-01-09	2020-01-09
14686	HCMC1408		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073694			8	8	2020-01-09	2020-01-09
14687	HCMC1194		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073695			8	8	2020-01-09	2020-01-09
14688	HCMC1219		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073696			8	8	2020-01-09	2020-01-09
14689	HCMC1124		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073699			8	8	2020-01-09	2020-01-09
14690	HCMC1273		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073702			8	8	2020-01-09	2020-01-09
14691	HCMC1304		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073703			8	8	2020-01-09	2020-01-09
14692	HCMC1292		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073704			8	8	2020-01-09	2020-01-09
14693	HCMC1207		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073707			8	8	2020-01-09	2020-01-09
14694	HCMC1392		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073708			8	8	2020-01-09	2020-01-09
14695	HCMC1069		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073709			8	8	2020-01-09	2020-01-09
14696	HCMC1278		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073712			8	8	2020-01-09	2020-01-09
14697	HCMC1055		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073713			8	8	2020-01-09	2020-01-09
14698	HCMC1418		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073714			8	8	2020-01-09	2020-01-09
14699	HCMC1002		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073716			8	8	2020-01-09	2020-01-09
14700	HCMC1404		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073719			8	8	2020-01-09	2020-01-09
14701	HCMC1023		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073721			8	8	2020-01-09	2020-01-09
14702	HCMC1227		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073723			8	8	2020-01-09	2020-01-09
14703	HCMC1247		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073727			8	8	2020-01-09	2020-01-09
14704	HCMC1016		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073730			8	8	2020-01-09	2020-01-09
14705	HCMC1252		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073731			8	8	2020-01-09	2020-01-09
14706	HCMC1143		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073732			8	8	2020-01-09	2020-01-09
14707	HCMC1382		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073735			8	8	2020-01-09	2020-01-09
14708	HCMC1099		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073736			8	8	2020-01-09	2020-01-09
14709	HCMC1356		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073737			8	8	2020-01-09	2020-01-09
14710	HCMC1136		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073738			8	8	2020-01-09	2020-01-09
14711	HCMC1462		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073740			8	8	2020-01-09	2020-01-09
14712	HCMC1076		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073741			8	8	2020-01-09	2020-01-09
14713	HCMC1258		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073742			8	8	2020-01-09	2020-01-09
14714	HCMC1073		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073743			8	8	2020-01-09	2020-01-09
14715	HCMC1216		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073745			8	8	2020-01-09	2020-01-09
14716	HCMC1239		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073747			8	8	2020-01-09	2020-01-09
14717	HCMC1484		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073757			8	8	2020-01-09	2020-01-09
14718	HCMC1340		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073758			8	8	2020-01-09	2020-01-09
14719	HCMC1183		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073760			8	8	2020-01-09	2020-01-09
14720	HCMC1061		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073762			8	8	2020-01-09	2020-01-09
14721	HCMC1221		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073763			8	8	2020-01-09	2020-01-09
14722	HCMC1284		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073764			8	8	2020-01-09	2020-01-09
14723	HCMC1431		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073768			8	8	2020-01-09	2020-01-09
14724	HCMC1415		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073771			8	8	2020-01-09	2020-01-09
14725	HCMC1373		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073773			8	8	2020-01-09	2020-01-09
14726	HCMC1068		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073774			8	8	2020-01-09	2020-01-09
14727	HCMC1291		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073776			8	8	2020-01-09	2020-01-09
14728	HCMC1335		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073777			8	8	2020-01-09	2020-01-09
14729	HCMC1144		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073779			8	8	2020-01-09	2020-01-09
14730	HCMC1222		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073780			8	8	2020-01-09	2020-01-09
14731	HCMC1478		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073782			8	8	2020-01-09	2020-01-09
14732	HCMC1470		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073783			8	8	2020-01-09	2020-01-09
14733	HCMC1260		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073790			8	8	2020-01-09	2020-01-09
14734	HCMC1398		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073794			8	8	2020-01-09	2020-01-09
14735	HCMC1092		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073796			8	8	2020-01-09	2020-01-09
14736	HCMC1134		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073800			8	8	2020-01-09	2020-01-09
14737	HCMC1471		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073802			8	8	2020-01-09	2020-01-09
14738	HCMC1375		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073803			8	8	2020-01-09	2020-01-09
14739	HCMC1189		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073807			8	8	2020-01-09	2020-01-09
14740	HCMC1057		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073810			8	8	2020-01-09	2020-01-09
14741	HCMC1423		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073814			8	8	2020-01-09	2020-01-09
14742	HCMC1334		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073815			8	8	2020-01-09	2020-01-09
14743	HCMC1093		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073819			8	8	2020-01-09	2020-01-09
14744	HCMC1251		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073820			8	8	2020-01-09	2020-01-09
14745	HCMC1493		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073821			8	8	2020-01-09	2020-01-09
14746	HCMC1215		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073823			8	8	2020-01-09	2020-01-09
14747	HCMC1476		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073828			8	8	2020-01-09	2020-01-09
14748	HCMC1432		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073829			8	8	2020-01-09	2020-01-09
14749	HCMC1394		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073830			8	8	2020-01-09	2020-01-09
14750	HCMC1218		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073833			8	8	2020-01-09	2020-01-09
14751	HCMC1263		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	2.2.1	draft	ENA SRA	SRR5073834			8	8	2020-01-09	2020-01-09
14752	HCMC1469		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073835			8	8	2020-01-09	2020-01-09
14753	HCMC1406		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073839			8	8	2020-01-09	2020-01-09
14754	HCMC1172		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073840			8	8	2020-01-09	2020-01-09
14755	HCMC1129		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073843			8	8	2020-01-09	2020-01-09
14756	HCMC1231		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073852			8	8	2020-01-09	2020-01-09
14757	HCMC1018		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073853			8	8	2020-01-09	2020-01-09
14758	HCMC1413		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073854			8	8	2020-01-09	2020-01-09
14759	HCMC1473		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073856			8	8	2020-01-09	2020-01-09
14760	HCMC1395		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073859			8	8	2020-01-09	2020-01-09
14761	HCMC1237		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073862			8	8	2020-01-09	2020-01-09
14762	HCMC1105		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073863			8	8	2020-01-09	2020-01-09
14763	HCMC1494		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073864			8	8	2020-01-09	2020-01-09
14764	HCMC1387		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073865			8	8	2020-01-09	2020-01-09
